Customer_ID,First Name,Middle Name,Last Name,Full Name,Country Code,Mobile Number,Email,City,Country,Join Date,Customer_ID,Gender,Birthday,Age,Nationality
1,Hanan,Qasem,Shady,Hanan Qasem Shady,20,1019332407,Hanan.Shady@example.com,Alexandria,Egypt,1/1/2024,1,Female,6/3/1988,37,Egyptian
2,Basma,Reda,Essam,Basma Reda Essam,20,1132363416,Basma.Essam@example.com,Luxor,Egypt,1/1/2024,2,Female,1/9/1970,55,Egyptian
3,Walaa,Fares,Saeed,Walaa Fares Saeed,20,1126770975,Walaa.Saeed@example.com,Luxor,Egypt,1/1/2024,3,Female,5/18/1965,60,Egyptian
4,Aya,Ezzat,Islam,Aya Ezzat Islam,20,1138862305,Aya.Islam@example.com,Aswan,Egypt,1/1/2024,4,Female,11/27/1968,57,Egyptian
5,Nadia,Abdelnasser,Noureldin,Nadia Abdelnasser Noureldin,20,1281949064,Nadia.Noureldin@example.com,Sharm El Sheikh,Egypt,1/1/2024,5,Female,7/10/1994,31,Egyptian
6,Shaimaa,Islam,Fouad,Shaimaa Islam Fouad,20,1019008787,Shaimaa.Fouad@example.com,Sharm El Sheikh,Egypt,1/1/2024,6,Female,5/21/1998,27,Egyptian
7,Aya,Youssef,Abdelrahman,Aya Youssef Abdelrahman,20,1292843570,Aya.Abdelrahman@example.com,Mansoura,Egypt,1/1/2024,7,Female,8/23/1972,53,Egyptian
8,Nehal,Wael,Aref,Nehal Wael Aref,20,1105949194,Nehal.Aref@example.com,Luxor,Egypt,1/1/2024,8,Female,12/25/1977,48,Egyptian
9,Nisreen,Nasser,Mahmoud,Nisreen Nasser Mahmoud,20,1148599045,Nisreen.Mahmoud@example.com,Giza,Egypt,1/1/2024,9,Female,12/13/1982,43,Egyptian
10,Fatma,Ahmed,Rashed,Fatma Ahmed Rashed,20,1198654639,Fatma.Rashed@example.com,Luxor,Egypt,1/1/2024,10,Female,3/17/1974,51,Egyptian
11,Eman,Qasem,Khaled,Eman Qasem Khaled,20,1292623982,Eman.Khaled@example.com,Sharm El Sheikh,Egypt,1/1/2024,11,Female,7/26/1982,43,Egyptian
