Employee_ID,First Name,Middle Name,Last Name,Full Name,Country Code,Mobile Number,Email,Joining Date,Contract Perioud,Last Contract Start,Last Contract End,# 0f Contracts,Gender,Birthday,Age,Nationality,Education,Salary,Bonus %,Position,Branch,Manager ID
1001,Zakaria,Bassem,Ramy,Zakaria Bassem Ramy,20,1202832805,Zakaria.Ramy@example.com,5/5/2018,5,5/5/2023,5/5/2028,2,Male,6/27/1967,58,Egyptian,PhD,114529,35,CEO,Head Office,
1002,Dalia,Hussein,Lotfy,Dalia Hussein Lotfy,20,1154575186,Dalia.Lotfy@example.com,12/23/2019,4,12/23/2023,12/23/2027,2,Female,11/16/1969,56,Egyptian,PhD,70003,24,CFO,Head Office,1001
1003,Nisreen,Abdelsalam,Qasem,Nisreen Abdelsalam Qasem,20,1205991908,Nisreen.Qasem@example.com,10/1/2021,3,10/1/2024,10/1/2027,2,Female,11/26/1969,56,Egyptian,PhD,19936,14,HR Manager,Head Office,1001
1004,Lotfy,Soliman,Mansour,Lotfy Soliman Mansour,20,1279182995,Lotfy.Mansour@example.com,4/30/2015,3,4/30/2024,4/30/2027,4,Male,4/17/1968,57,Egyptian,Masters,12642,15,Warehouse Manager,Head Office,1001
1005,Magdy,Saber,Moataz,Magdy Saber Moataz,20,1177872501,Magdy.Moataz@example.com,10/7/2022,3,10/7/2022,10/7/2025,1,Male,12/13/1967,58,Egyptian,Masters,32218,15,Regional Manager,Head Office,1001
1006,Islam,Reda,Mounir,Islam Reda Mounir,20,1020414741,Islam.Mounir@example.com,11/4/2018,3,11/4/2024,11/4/2027,3,Male,1/10/1970,55,Egyptian,Masters,20753,20,Accountant Manager,Head Office,1002
1007,Ayman,Qasem,Waheed,Ayman Qasem Waheed,20,1289080247,Ayman.Waheed@example.com,4/7/2020,3,4/7/2023,4/7/2026,2,Male,11/22/1968,57,Egyptian,PhD,20761,20,Financial Analyst Manager,Head Office,1002
1008,Iman,Safwat,Abdelrahman,Iman Safwat Abdelrahman,20,1221118196,Iman.Abdelrahman@example.com,3/4/2020,3,3/4/2023,3/4/2026,2,Female,5/16/1984,41,Egyptian,Masters,12953,9,Senior HR,Head Office,1003
1009,Moheb,Anwar,Nabil,Moheb Anwar Nabil,20,1248211246,Moheb.Nabil@example.com,4/20/2020,3,4/20/2023,4/20/2026,2,Male,5/23/1985,40,Egyptian,Masters,13460,11,Senior HR,Head Office,1003
1010,Fouad,Shady,Basel,Fouad Shady Basel,20,1149274184,Fouad.Basel@example.com,7/2/2015,2,7/2/2023,7/2/2025,5,Male,2/2/1995,30,Egyptian,Bachelor,6982,7,Warehouse Operator,Head Office,1004
1011,Waheed,Mohamed,Abdelkader,Waheed Mohamed Abdelkader,20,1232921471,Waheed.Abdelkader@example.com,5/3/2018,1,5/3/2024,5/3/2025,7,Male,11/10/1988,37,Egyptian,Bachelor,5388,6,Warehouse Operator,Head Office,1004
1012,Mohamed,Anwar,Abdelkader,Mohamed Anwar Abdelkader,20,1242307784,Mohamed.Abdelkader@example.com,5/30/2016,2,5/30/2024,5/30/2026,5,Male,6/12/1984,41,Egyptian,Bachelor,6328,8,Warehouse Operator,Head Office,1004
1013,Bassem,Hossni,Mohamed,Bassem Hossni Mohamed,20,1048289768,Bassem.Mohamed@example.com,9/3/2022,2,9/3/2024,9/3/2026,2,Male,10/8/1994,31,Egyptian,Bachelor,6998,7,Warehouse Operator,Head Office,1004
1014,Waheed,Maged,Shady,Waheed Maged Shady,20,1158417344,Waheed.Shady@example.com,6/14/2020,3,6/14/2023,6/14/2026,2,Male,10/10/1980,45,Egyptian,Masters,22941,14,Store Manager,Cairo,1005
1015,Farouk,Farouk,Ehab,Farouk Farouk Ehab,20,1296016477,Farouk.Ehab@example.com,11/24/2017,3,11/24/2023,11/24/2026,3,Male,8/6/1979,46,Egyptian,Masters,21017,16,Store Manager,Giza,1005
1016,Hassan,Abdelhady,Nasr,Hassan Abdelhady Nasr,20,1291455616,Hassan.Nasr@example.com,3/23/2017,3,3/23/2023,3/23/2026,3,Male,12/3/1977,48,Egyptian,Masters,24694,15,Store Manager,Alexandria,1005
1017,Ahmed,Yasser,Mohamed,Ahmed Yasser Mohamed,20,1143328868,Ahmed.Mohamed@example.com,4/28/2019,3,4/28/2022,4/28/2025,2,Male,2/18/1972,53,Sudanese,Bachelor,22941,14,Store Manager,Mansoura,1005
1018,Bassem,Hany,Omar,Bassem Hany Omar,20,1006245386,Bassem.Omar@example.com,6/6/2021,3,6/6/2024,6/6/2027,2,Male,4/17/1979,46,Egyptian,Bachelor,20198,15,Store Manager,Sharm El Sheikh,1005
1019,Galal,Ali,Mahmoud,Galal Ali Mahmoud,20,1041477384,Galal.Mahmoud@example.com,6/19/2015,3,6/19/2024,6/19/2027,4,Male,2/23/1973,52,Egyptian,Masters,21157,17,Store Manager,Luxor,1005
1020,Hossni,Fouad,Abdelatif,Nihal Fouad Abdelatif,20,1289111340,Hossni.Abdelatif@example.com,4/7/2020,3,4/7/2023,4/7/2026,2,Female,12/10/1980,45,Egyptian,Masters,21278,12,Store Manager,Aswan,1005
1021,Sohair,Sherif,Magdy,Sohair Sherif Magdy,20,1211971713,Sohair.Magdy@example.com,1/3/2020,3,1/3/2023,1/3/2026,2,Female,6/28/1981,44,Egyptian,Masters,12066,9,Senior Accountant,Head Office,1006
